Risk,Workload,RecordType,Operation,FriendlyName,CustomDescription,Description
,,,PurviewSearchUploadFile,Uploaded file for Purview search,,"User uploaded a file for search by file. This audit activity includes the case name, case ID, search name, search ID, and the name of the file the user uploaded."
,,,PurviewSearchViewed,Viewed Purview search,,"User viewed a specific search. This audit activity includes the search name, ID, and the specific data sources and query values inside the search that was viewed by the user."
,,,QuarantineDeleteMessage,Deleted quarantine message,,An admin or user deleted an email message that was deemed to be harmful.
,,,QuarantineExport,Exported quarantine message,,An admin or user exported an email message that was deemed to be harmful.
,,,QuarantinePreview,Previewed quarantine message,,An admin or user previewed an email message that was deemed to be harmful.
,,,QuarantineRelease,Released quarantine message,,An admin or user released an email message from quarantine that was deemed to be harmful.
,,,QuarantineReleaseRequest,Release request quarantine message,,A user requested the release of an email message that was deemed to be harmful.
,,,QuarantineReleaseRequestDeny,Denied quarantine message release request,,An admin denial for a release request from a user for an email message that was deemed to be harmful.
,,,QuarantineViewHeader,Viewed quarantine message's header,,An admin or user viewed the header an email message that was deemed to be harmful.
,,,RecordDelete,Deleted file marked as a record,,A document or email that was marked as a record was deleted. An item is considered a record when a retention label that marks items as a record is applied to content.
,,,RecordingExported,Exported recordings 1,,Chat recordings were exported.
,,,RelabelItem,Relabeled item,,A disposition reviewer relabeled the retention label.
,,,ReleaseFromIsolation,Released from isolation,,Added an isolated device back onto the network.
,,,RemediationActionAdded,Added remediation action,,A remediation action was added to the queue.
,,,RemediationActionConfigurationUpdated,Updated remediation action configuration,,The Manage action accounts set was modified.
,,,RemediationActionUpdated,Updated remediation action,,A remediation action was completed.
,,,Remove delegation entry.,Removed delegation entry,,An authentication permission was removed from an application in Microsoft Entra ID.
,,,Remove domain from company.,Removed domain from company,,Removed a domain from your organization.
,,,Remove member from group.,Removed member from group,,A member was removed from a group.
,,,Remove partner from company.,Removed a partner from the directory,,Removed a partner (delegated administrator) from your organization.
,,,Remove service principal credentials.,Removed credentials from a service principal,,Credentials were removed from a service principal in Microsoft Entra ID. A service principle represents an application in the directory.
,,,Remove service principal.,Removed a service principal from the directory,,An application was deleted/unregistered from Microsoft Entra ID. An application is represented by a service principal in the directory.
,,,RemoveAdaptiveScope,Deleted adaptive scope,,Administrator deleted an adaptive scope.
,,,RemoveAppRestrictions,Removed app restrictions,,Allow an app to run.
,,,RemoveComplianceTag,Deleted retention label,,Administrator deleted a retention label.
,,,RemoveCuratedTopic,Remove curated topic*,,User removes a curated topic.
,,,RemoveDelegates,Removed delegate access,,A user removed delegate access for organization insights or Copilot dashboard.
,,,RemovedFromGroup,Removed user or group from SharePoint group,,"User removed a member or guest from a SharePoint group. This might have been an intentional action or the result of another activity, such as an unsharing event."
,,,RemovedFromSecureLink,User removed from secure link,,A user was removed from the list of entities who can use a secure sharing link.
,,,RemoveFolderPermissions,Removed permissions from folder,,A folder permission was removed. Folder permissions control which users in your organization can access folders in a mailbox and the messages located in those folders.
,,,RemoveFormCoauthor,Removed form coauthor,,Form owner deletes a collaboration link.
,,,Remove-MailboxPermission,Removed delegate mailbox permissions,,"An administrator removed the FullAccess permission (that was assigned to a delegate) from a person's mailbox. After the FullAccess permission is removed, the delegate can't open the other person's mailbox or access any content in it."
,,,RemoveRetentionCompliancePolicy,Deleted retention policy,,Administrator deleted a retention policy.
,,,RemoveRetentionComplianceRule,Deleted settings from a retention policy,,"Administrator deleted the configuration settings of a retention policy. Most likely, this activity is logged when an administrator deletes a retention policy or runs the Remove-RetentionComplianceRule cmdlet."
,,,RemoveSpecificResponder,Removed specific responder,,Form owner removes a user or group from the specific responders list.
,,,RemoveTagsFromIncident,Removed tags from incident,,Removed tags from incident.
,,,RemoveUserRole,Removed Corporate Communicator,,A user is removed from the Corporate Communicator role.
,,,ReportDownloaded,Downloaded report,,A report was downloaded.
,,,ReporterConfigurationUpdated,Updated reporter configuration,,A report's scheduling was modified.
,,,RequestAdded,Added shift request,,A user added a shift request.
,,,RequestCancelled,Canceled shift request,,A user canceled a shift request.
,,,RequestRespondedTo,Responded to shift request,,A user responded to a shift request.
,,,Reset user password.,Reset user password,,Administrator resets the password for a user.
,,,RestoreTaskActivated,Activated Draft Restore Task,,A draft restore task for Microsoft 365 Backup is activated. It is a long running operation.
,,,RestoreTaskCompleted,Completed Restore Task,,A restore task is completed in Microsoft 365 Backup.
,,,RestrictAppExecution,Restricted app execution,,Prevent a malicious app from running.
,,,ReviewSetAdded,Added review set,,User created a review set.
,,,ReviewSetAnnotationsUpdated,Updated review set annotation,,User annotated a document in a review set. This audit activity includes the review set name and other information such as the annotated document ID.
,,,ReviewSetCopied,Copied review set,,User triggers the �Add to another review set� process.
,,,ReviewSetDataProcessingErrorViewed,Viewed data processing errors for a review set,,User viewed processing errors in a review set.
,,,ReviewSetDocumentsTaggedById,Tagged documents by ID for a review set,,"User applied tags to specific documents in a review set. The audit activity includes the case name, review set name and the list of items being tagged."
,,,ReviewSetDocumentsTaggedByQuery,Tagged documents by query for a review set,,"User applied tags to specific documents in a review set after filtering by query. The audit activity includes the case name, review set name and the list of items being tagged."
,,,ReviewSetDocumentViewed,Viewed review set document,,"User viewed a document inside a review set. This audit activity includes the case name, case ID, review set name, review set ID and other information such as the ID of the document viewed."
,,,ReviewSetExportJobSubmitted,Submitted review set export job,,"Exported documents from review set. This audit activity includes the review set name, list of documents IDs being exported and relevant export process settings."
,,,ReviewSetListViewed,Viewed review set list,,User viewed the list of review sets in a case.
,,,ReviewSetNotesUpdated,Updated notes for a review set,,User updated note for a review set document.
,,,ReviewSetQueryReportViewed,Viewed query report for a review set,,User viewed query repot inside a review set.
,,,ReviewSetSavedSearchAdded,Added saved search for a review set,,"User created a saved filters in a review set. The audit activity includes the review set name, saved filters name and the query used."
,,,ReviewSetSavedSearchListViewed,Viewed saved search list for a review set,,User viewed a list of saved filters in a review set. The audit activity includes the review set name and the name of the list of saved filters viewed.
,,,ReviewSetSavedSearchRemoved,Removed saved search for a review set,,User deleted a saved filters in a review set.
,,,ReviewSetSavedSearchUpdated,Updated saved search for a review set,,"User modified a saved filters in a review set. The audit activity includes the review set name, saved filters name and the query used."
,,,ReviewSetSearchCountViewed,Viewed search count for a review set,,"User ran a search within a review set and viewed the count returned. The audit activity includes the case name, review set name and the count of items returned in the search results."
,,,ReviewSetSearchOptionsViewed,Viewed search options for a review set,,User viewed the settings of an add to review set. The audit activity includes the case name and review set name.
,,,ReviewSetSearchRun,Viewed search results for a review set,,"User ran a search within a review set. The audit activity includes the case name, review set name and the list of items returned in the search results."
,,,ReviewSetSummaryViewed,Viewed review set summary,,User viewed the Overview of a Review set.
,,,ReviewSetUpdated,Updated review set,,User updated the review set such as review set name and description.
,,,RoadmapAccessed,Roadmap accessed,,A roadmap or portfolio is read by a user or app.
,,,RoadmapCreated,Created roadmap,,A roadmap or portfolio is created by a user or app.
,,,RoadmapDeleted,Deleted roadmap,,A roadmap or portfolio is deleted by a user or app.
,,,RoadmapItemAccessed,Roadmap item accessed,,A roadmap or portfolio item is read by a user or app.
,,,RoadmapItemCreated,Created roadmap item,,A roadmap or portfolio item is created by a user or app.
,,,RoadmapItemDeleted,Deleted roadmap item,,A roadmap or portfolio item is deleted by a user or app.
,,,RoadmapItemUpdated,Updated roadmap item,,A roadmap or portfolio item is modified by a user or app.
,,,RoadmapUpdated,Updated roadmap,,A roadmap or portfolio is modified by a user or app.
,,,RosterCreated,Created a roster,,"A roster is created by a user or an app. If the create operation is a ResultStatus.Failure or ResultStatus.AuthorizationFailure, ObjectId indicates null, MemberIds indicates an empty string."
,,,RosterDeleted,Deleted a roster,,A roster is deleted by a user or an app.
,,,RosterMemberAdded,Added a member to a roster,,"A member is added to a roster. If the add operation is a ResultStatus.Failure or ResultStatus.AuthorizationFailure, MemberIds indicates the list of member IDs attempted."
,,,RosterMemberDeleted,Removed a member to a roster,,"A member is removed from a roster. If the remove operation is a ResultStatus.Failure or ResultStatus.AuthorizationFailure, MemberIds indicates the list of member IDs attempted."
,,,RosterSensitivityLabelUpdated,Updated a roster's sensitivity label,,A user or an app updates a roster's sensitivity label.
,,,Run hybrid AADJ extension,Run hybrid AADJ extension,,Run hybrid AADJ extension on the device of the user.
,,,RunAntiVirusScan,Ran Antivirus scan,,Ran Microsoft Defender Antivirus scan on a device.
,,,RunCustomDetection,Ran custom detection rule,,A custom detection rule was manually run.
,,,RunLiveResponseApi,Ran Live response API,,"Opened a Live response session via an API call, opening a remote shell into a device."
,,,RunLiveResponseSession,Ran Live response session,,"Ran a Live response session, opening a remote shell into a device."
,,,SampleResultsViewed,Viewed sample results,,User viewed search sample results view.
,,,SampleStatusViewed,Viewed sample status,,"User viewed search sample view�s status. The audit activity includes search�s name, ID, query, and associated settings."
,,,SampleViewCancelled,Cancelled sample view,,"User canceled sample view. The audit activity includes the canceled search�s name, ID, query, and associated settings."
,,,ScheduleGroupAdded,Added scheduling group,,A user successfully adds a new scheduling group to the schedule.
,,,ScheduleGroupDeleted,Deleted scheduling group,,A user successfully deletes a scheduling group from the schedule.
,,,ScheduleGroupEdited,Edited scheduling group,,A user successfully edits a scheduling group.
,,,ScheduleSettingChanged,Changed schedule setting,,A user changes a setting in Shifts settings.
,,,ScheduleShared,Shared schedule,,A user successfully shared a team schedule for a date range.
,,,ScheduleWithdrawn,Withdrew schedule,,A user successfully withdraws a published schedule.
,,,SearchQueryPerformed,Performed search query,,"User or system account performs a search in SharePoint or OneDrive for Business. Some common scenarios where a service account performs a search query include applying an eDiscovery holds and retention policy to sites and OneDrive accounts, and autoapplying retention or sensitivity labels to site content. To enable logging for this activity, see Get started with auditing solutions."
,,,SecureLinkCreated,Created secure link,,A secure sharing link was created to this item.
,,,SecureLinkDeleted,Deleted secure link,,A secure sharing link was deleted.
,,,SecureLinkUsed,Used secure link,,A user used a secure link.
,,,SendAs,Sent message using Send As permissions,,A message was sent using the SendAs permission. This means that another user sent the message as though it came from the mailbox owner.
,,,SendToConnectionAdded,Created Sent To connection,,"A SharePoint or global administrator creates a new Send To connection on the Records management page in the SharePoint admin center. A Send To connection specifies settings for a document repository or a records center. When you create a Send To connection, a Content Organizer can submit documents to the specified location."
,,,SendToConnectionRemoved,Deleted Sent To connection,,A SharePoint or global administrator deletes a Send To connection on the Records management page in the SharePoint admin center.
,,,SensitivityLabelApplied,Applied sensitivity label,,A user or meeting organizer applied a sensitivity label to a Teams meeting.
,,,SensitivityLabelApplied,,,The operations for this activity are different depending on how the label was applied:
,,,SensitivityLabelChanged,Sensitivity label changed,,Sensitivity label is added/updated/deleted.
,,,SensitivityLabelChanged,Changed sensitivity label,,A user changed a sensitivity label on a Teams meeting.
,,,SensitivityLabelRemoved,Removed sensitivity label,,A user removed a sensitivity label from a Teams meeting.
,,,SensitivityLabelRemoved,,,The operations for this activity are different depending on how the label was removed:
,,,SensitivityLabelUpdated,,,The operations for this activity are different depending on how the label was changed:
,,,SensorActivationMethodConfigurationUpdated,Updated sensors activation mode,,The sensors activation mode was modified.
,,,SensorConfigurationUpdated,Updated sensor configuration,,A sensor's configuration was updated.
,,,SensorCreated,Added sensor,,A new sensor was added.
,,,SensorDeleted,Removed sensor,,A sensor was deleted.
,,,SensorDeploymentAccessKeyReceived,Retrieved sensor deployment key,,The sensors access key was retrieved.
,,,SensorDeploymentAccessKeyUpdated,Regenerated sensor deployment key,,The sensors access key was regenerated.
,,,Set company contact information.,Set company contact information,,"Updated the company-level contact preferences for your organization. This includes email addresses for subscription-related email sent by Microsoft 365, and technical notifications about services."
,,,Set delegation entry.,Set delegation entry,,An authentication permission was updated for an application in Microsoft Entra ID.
,,,Set DirSyncEnabled flag.,Turned on Azure AD Sync,,Set the property that enables a directory for Azure AD Sync.
,,,Set domain authentication.,Set domain authentication,,Changed the domain authentication setting for your organization.
,,,Set federation settings on domain.,Updated the federation settings for a domain,,Changed the federation (external sharing) settings for your organization.
,,,Set force change user password.,Set property that forces user to change password,,Administrator set the property that forces a user to change their password the next time the user signs in to Microsoft 365.
,,,Set license properties.,Set license properties,,Administrator modifies the properties of a licensed assigned to a user.
,,,Set password policy.,Set password policy,,Changed the length and character constraints for user passwords in your organization.
,,,SetAdaptiveScope,Updated adaptive scope,,Administrator changed the description or query for an existing adaptive scope.
,,,SetAdvancedFeatures,Set advanced features,,"Changed advanced features in Defender for Endpoint, enabling more precise controls during an incident. Only settings for advanced features that are generally available are logged in the Microsoft 365 audit log."
,,,SetComplianceTag,Updated retention label,,Administrator updated an existing retention label.
,,,SetRestrictiveRetentionUI,Enabled regulatory record option for retention labels,,Administrator ran the Set-RegulatoryComplianceUI cmdlet so that an administrator can then select the UI configuration option for a retention label to mark content as a regulatory record.
,,,SetRetentionCompliancePolicy,Updated retention policy,,Administrator updated an existing a retention policy. Updates that trigger this event include adding or excluding content locations that the retention policy is applied to.
,,,SetRetentionComplianceRule,Updated settings for a retention policy,,"Administrator changed the retention settings for an existing retention policy. Retention settings include how long items are retained, and what happens to items when the retention period expires (such as deleting items, retaining items, or retaining and then deleting them). This activity also corresponds to running the Set-RetentionComplianceRule cmdlet."
,,,SharePointDataProactivelyPreserved,Retained file proactively,,Adaptive protection automatically applied a retention label to retain an item in SharePoint or OneDrive.
,,,SharingInheritanceBroken,Broke sharing inheritance,,An item was changed so that it no longer inherits sharing permissions from its parent.
,,,SharingInheritanceReset,Restored sharing inheritance,,A change was made so that an item inherits sharing permissions from its parent.
,,,SharingInvitationAccepted,Accepted sharing invitation,,"User (member or guest) accepted a sharing invitation and was granted access to a resource. This event includes information about the user who was invited and the email address that was used to accept the invitation (they could be different). This activity is often accompanied by a second event that describes how the user was granted access to the resource, for example, adding the user to a group that has access to the resource."
,,,SharingInvitationBlocked,Blocked sharing invitation,,"A sharing invitation sent by a user in your organization is blocked because of an external sharing policy that either allows or denies external sharing based on the domain of the target user. In this case, the sharing invitation was blocked because:"
,,,SharingInvitationCreated,Created sharing invitation,,User shared a resource in SharePoint Online or OneDrive for Business with a user who isn't in your organization's directory.
,,,SharingInvitationRevoked,Withdrew sharing invitation,,User withdrew a sharing invitation to a resource.
,,,SharingInvitationUpdated,Updated sharing invitation,,An external sharing invitation was updated.
,,,SharingPolicyChanged,Changed a sharing policy,,"A SharePoint or global administrator changed a SharePoint sharing policy by using the Microsoft 365 admin center, SharePoint admin center, or SharePoint Online Management Shell. Any change to the settings in the sharing policy in your organization are logged. The policy that was changed is identified in the ModifiedProperties field in the detailed properties of the event record."
,,,SharingRestored,Restored sharing of team channel 3,,A team or channel owner re-enabled sharing for a shared channel.
,,,SharingRevoked,"Unshared file, folder, or site",,"User (member or guest) unshared a file, folder, or site that was previously shared with another user."
,,,SharingSet,"Shared file, folder, or site",,"User (member or guest) shared a file, folder, or site in SharePoint or OneDrive for Business with a user in your organization's directory. The value in the Detail column for this activity identifies the name of the user the resource was shared with and whether this user is a member or a guest."
,,,ShiftAdded,Added shift,,A user successfully adds a shift.
,,,ShiftDeleted,Deleted shift,,A user successfully deletes a shift.
,,,ShiftEdited,Edited shift,,A user successfully edits a shift.
,,,Site ContentType Created,Created site content type,,A user created a site content type. A site content type is a content type that's attached to the parent site.
,,,SiteAdminChangeRequest,Requested site admin permissions,,User requests to be added as a site collection administrator for a site collection. Site collection administrators have full control permissions for the site collection and all subsites.
,,,SiteCollectionAdminAdded,Added site collection admin,,Site collection administrator or owner adds a person as a site collection administrator for a site. Site collection administrators have full control permissions for the site collection and all subsites. This activity is also logged when an admin gives themselves access to a user's OneDrive account (by editing the user profile in the SharePoint admin center or by using the Microsoft 365 admin center).
,,,SiteCollectionAdminRemoved,Removed site collection admin,,"Site collection administrator or owner removes a person as a site collection administrator for a site. This activity is also logged when an admin removes themselves from the list of site collection administrators for a user's OneDrive account (by editing the user profile in the SharePoint admin center). To return this activity in the audit log search results, you have to search for all activities."
,,,SiteCollectionCreated,Created site collection,,A SharePoint or global administrator creates a site collection in your SharePoint Online organization or a user provisions their OneDrive for Business site.
,,,SiteCollectionQuotaModified,Modified site collection quota,,Site administrator modifies the quota for a site collection.
,,,SiteColumnCreated,Created site column,,A user created a SharePoint site column. A site column is a column that isn't attached to a list. A site column is also a metadata structure that can be used by any list in a given web.
,,,SiteColumnDeleted,Deleted site column,,A user deleted a SharePoint site column.
,,,SiteColumnUpdated,Updated site column,,A user updated a SharePoint site column by modifying one or more properties.
,,,SiteContentTypeDeleted,Deleted site content type,,A user deleted a site content type.
,,,SiteContentTypeUpdated,Updated site content type,,A user updated a site content type by modifying one or more properties.
,,,SiteDeleted,Deleted site,,Site administrator deletes a site.
,,,SiteGeoMoveCancelled,Canceled site geo move,,"A SharePoint or global administrator successfully cancels a SharePoint or OneDrive site geo move. The Multi-Geo capability lets an organization span multiple Microsoft datacenter geographies, which are called geos. For more information, see Multi-Geo Capabilities in OneDrive and SharePoint Online."
,,,SiteGeoMoveCompleted,Completed site geo move,,"A site geo move that was scheduled by a global administrator in your organization was successfully completed. The Multi-Geo capability lets an organization span multiple Microsoft datacenter geographies, which are called geos. For more information, see Multi-Geo Capabilities in OneDrive and SharePoint Online."
,,,SiteGeoMoveScheduled,Scheduled site geo move,,"A SharePoint or global administrator successfully schedules a SharePoint or OneDrive site geo move. The Multi-Geo capability lets an organization span multiple Microsoft datacenter geographies, which are called geos. For more information, see Multi-Geo Capabilities in OneDrive and SharePoint Online."
,,,SiteIBModeChanged,Changed information barrier mode of site,,A SharePoint or global administrator has updated the mode of the site.
,,,SiteIBModeSet,Applied information barrier mode to site,,A SharePoint or global administrator has applied a mode to the site.
,,,SiteIBSegmentsChanged,Changed segments of site,,A SharePoint or global administrator changed one or more information barriers segments for a site.
,,,SiteIBSegmentsRemoved,Removed segment from site,,A SharePoint or global administrator removed one or more information barriers segments from a site.
,,,SiteIBSegmentsSet,Applied segments to site,,"A SharePoint, global administrator, or site owner added one or more information barriers segments to a site."
,,,SitePermissionsModified,Modified site permissions,,Site administrator or owner (or system account) changes the permission level that is assigned to a group on a site. This activity is also logged if all permissions are removed from a group.
,,,SiteRenamed,Renamed site,,Site administrator or owner renames a site
,,,SiteSensitivityLabelApplied,Applied sensitivity label to site,,A sensitivity label was applied to a SharePoint site or Teams site that isn't group-connected.
,,,SiteSensitivityLabelChanged,Changed sensitivity label on a site,,A different sensitivity label was applied to a SharePoint site or Teams site that isn't group-connected.
,,,SiteSensitivityLabelRemoved,Removed sensitivity label from site,,A sensitivity label was removed from a SharePoint site or Teams site that isn't group-connected.
,,,SoftDeleteSettingsUpdated,Changed data retention policy,,Verified admin updates the setting for the network data retention policy to either Hard Delete or Soft Delete. Only verified admins can perform this operation.
,,,SPOIBIsDisabled,Disabled information barriers for SharePoint and OneDrive,,A SharePoint or global administrator has disabled information barriers for SharePoint and OneDrive in the organization.
,,,SPOIBIsEnabled,Enabled information barriers for SharePoint and OneDrive,,A SharePoint or global administrator has disabled information barriers for SharePoint and OneDrive in the organization.
,,,StatisticsResultsViewed,Viewed statistics results,,User viewed search statistics results.
,,,StatisticsStatusViewed,Viewed statistics status,,"User viewed search statistics view�s status. The audit activity includes search�s name, ID, query, and associated settings."
,,,StatisticsViewCancelled,Cancelled statistics view,,"User canceled statistics view. The audit activity includes the canceled search�s name, ID, query, and associated settings."
,,,StopAndQuarantineFile,Stopped and quarantined file,,Quarantined a suspicious file for further analysis.
,,,SubmitResponse,Submitted response,,A user submits a response to a form.
,,,SubmitUpdate,Submit an update,,A user successfully submits an update.
,,,SubscribedToMessages,Subscribed to message change notifications 1,,A subscription was created by a listener application to receive change notifications for messages.
,,,SubTaskCreated,SubTask created,,A subtask was created.
,,,SubTaskDeleted,SubTask deleted,,A subtask was deleted.
,,,SubTaskUpdated,SubTask updated,,A subtask was updated.
,,,SupervisionPolicyCreated,Policy update,,A communication compliance administrator has performed a policy update.
,,,SupervisionRuleMatch,Policy match,,A user has sent a message that matches a policy's condition.
,,,SupervisorAdminToggled,Changed private content mode,,Verified admin turns Private Content Mode on or off. This mode lets an admin view the posts in private groups and view private messages between individual users (or groups of users). Only verified admins only can perform this operation.
,,,SupervisoryReviewTag,Tag applied to message(s),,Tags are applied to messages or messages are resolved.
,,,SyslogServiceConfigurationUpdated,Updated syslog forwarding configuration,,The syslog forwarding configuration was modified.
,,,TabAdded,Added tab,,A user adds a tab to a channel.
,,,TabRemoved,Removed tab,,A user removes a tab from a channel.
,,,TabUpdated,Updated tab,,A user modified a tab in a channel.
,,,TaggingConfigurationUpdated,Updated entity tags,,A tag was added or removed from an entity.
,,,TagsUpdated,Updated tags,,User updated review set tags in a case.
,,,TagsViewed,Viewed tags,,User viewed review set tags in a case.
,,,TagTemplateAdded,Added tag template,,User created tag template in eDiscovery settings.
,,,TagTemplateListViewed,Viewed tag template list,,User viewed the list of tag template in eDiscovery settings. The audit activity includes the list of tag templates viewed.
,,,TagTemplateRemoved,Removed tag template,,User removed a tag template in eDiscovery settings. The audit activity includes the name and object ID of the tag template removed.
,,,TagTemplateTagsUpdated,Updated tags for a tag template,,User updated tags for a tag template. The audit activity includes the name and ID of the tag template tags updated.
,,,TagTemplateTagsViewed,Viewed tags for a tag template,,User viewed tags for a tag template. The audit activity includes the name and ID of the tag template tags viewed.
,,,TagTemplateUpdated,Updated tag template,,User updated a tag template in eDiscovery settings. The audit activity includes the name and object ID of the tag template updated.
,,,TaskAccessed,Task accessed,,A task is read by a user or app.
,,,TaskAssigned,Assigned a task,,A task's assignee is modified by a user or an app. This can be an unassigned task getting assigned or an assigned task has a new assignee.
,,,TaskCompleted,Completed a task,,A task is marked completed by a user or an app.
,,,TaskCreated,Created a task,,"A task is created by a user or an app. If the create operation is a ResultStatus.Failure or ResultStatus.AuthorizationFailure, ObjectId indicates null and PlanId indicates null."
,,,TaskCreated,Created task,,A task is created by a user or app.
,,,TaskCreated,Task created,,A task was created.
,,,TaskDeleted,Deleted a task,,A task is deleted by a user or an app.
,,,TaskDeleted,Deleted task,,A task is deleted by a user or app.
,,,TaskDeleted,Task deleted,,A task was deleted.
,,,TaskListCreated,TaskList created,,A task list was created.
,,,TaskListRead,Read a list of tasks,,"A list of tasks is queried by a user or an app. If the query operation is a ResultStatus.Failure or ResultStatus.AuthorizationFailure, TaskList indicates an empty string."
,,,TaskListRead,TaskList read,,A task list was read.
,,,TaskListUpdated,TaskList updated,,A task list was updated.
,,,TaskModified,Modified a task,,A task is modified by a user or an app.
,,,TaskRead,Read a task,,"A task is read by a user or an app. If the read operation is a ResultStatus.Failure or ResultStatus.AuthorizationFailure, PlanId indicates null."
,,,TaskRead,Task read,,A task was read.
,,,TaskUpdated,Updated task,,A task is modified by a user or app.
,,,TaskUpdated,Task updated,,A task was updated.
,,,Team added,Team added,,A new team has been created within an organization on Viva Goals.
,,,Team deleted,Team deleted,,A team within an organization on Viva Goals has been deleted by the user.
,,,Team updated,Team updated,,A team within an organization on Viva Goals has been modified or updated.
,,,TeamCreated,Created team,,A user creates a team.
,,,TeamDeleted,Deleted team,,A team owner deletes a team.
,,,TeamSettingChanged,Changed team setting,,"The TeamSettingChanged operation is logged when the following activities are performed by a team owner. For each of these activities, a description of the setting that was changed (shown in parentheses) is displayed in the Item column in the audit log search results."
,,,TeamsImpersonationDetected,Detected impersonation attempt,,An external message sender is detected to have potential impersonation activity.
,,,TeamsSessionStarted,User signed in to Teams,,A user signs in to a Microsoft Teams client. This event doesn't capture token refresh activities.
,,,TeamsTenantSettingChanged,Changed organization setting,,"The TeamsTenantSettingChanged operation is logged when the following activities are performed by a global admin in the Microsoft 365 admin center. These activities affect org-wide Teams settings. To learn more, see Manage Teams settings for your organization."
,,,TenantSettingsUpdated,Updated tenant settings,,User updated eDiscovery�s tenant settings.
,,,TenantSettingsUpdated,Updated tenant settings,,"Tenant settings are updated by a tenant admin. If the update operation is a ResultStatus.Failure or ResultStatus.AuthorizationFailure, ObjectId indicates the original settings, and TenantSettings indicates the tenant settings attempted."
,,,TenantSettingsViewed,Viewed tenant settings,,User viewed eDiscovery�s tenant settings. The audit activity contains information on the setting values.
,,,TerminatedSharing,Removed sharing of team channel 3,,A team or channel owner disabled sharing for a shared channel.
,,,ThreadAccessFailure,Failed to access thread,,User failed to access a message thread.
,,,ThreadViewed,Viewed thread,,User views a message thread.
,,,TimeClockEntryAdded,Added Time clock entry,,A user successfully adds a new manual Time clock entry on Time Sheet.
,,,TimeClockEntryDeleted,Deleted Time clock entry,,A user successfully deletes a Time clock entry on Time Sheet.
,,,TimeClockEntryEdited,Edited Time clock entry,,A user successfully edits a Time clock entry on Time Sheet.
,,,TimeOffAdded,Added time off,,A user successfully adds time off on the schedule.
,,,TimeOffDeleted,Deleted time off,,A user successfully deletes time off.
,,,TimeOffEdited,Edited time off,,A user successfully edits time off.
,,,TranscriptsExported,Exported transcripts 1,,Chat transcripts were exported.
,,,Trigger CMD Agent Canary check.,Trigger CMD Agent Canary check.,,Trigger CMD Agent Canary check on specific device.
,,,Trigger device remediation,Trigger device remediation,,Trigger device remediation.
,,,Trigger generic action,Trigger generic action,,Trigger device action for user.
,,,Trigger generic action by SaaF,Trigger generic action by SaaF,,"Trigger device action (Retargeting, EnableRdpAccessForCitrix, DisableRdpAccessFprCitrix) for user."
,,,Trigger generic action with options,Trigger generic action with options,,"Trigger device action with option parameters, more powerful than that of trigger generic action."
,,,Trigger orchestrator,Trigger orchestrator,,Trigger orchestrator for the user.
,,,TriggerClientAgentCheckBulkAction Operation,Bulk reinstall CMD Agent,,Bulk reinstall CMD agent on demand.
,,,UnAssignUserFromIncident,Unassigned user to incident,,Unassigned user to incident.
,,,UnlockRecord,Changed record status to unlocked,,The record status of a retention label that classifies a document as a record was unlocked. This means that the document can be modified or deleted. Only users assigned at least the contributor permission for a site can change the record status of a document.
,,,UnmanagedSyncClientBlocked,Blocked computer from syncing files,,"User tries to establish a sync relationship with a site from a computer that isn't a member of your organization's domain or is a member of a domain that hasn't been added to the list of domains (called the safe recipients list) that can access document libraries in your organization. The sync relationship isn't allowed, and the user's computer is blocked from syncing, downloading, or uploading files on a document library."
,,,Update domain.,Updated domain,,Updated the settings of a domain in your organization.
,,,Update group.,Updated group,,A property of a group was changed.
,,,UpdateCalendarDelegation,Added or removed user with delegate access to calendar folder,,A user was added or removed as a delegate to the calendar of another user's mailbox. Calendar delegation gives someone else in the same organization permissions to manage the mailbox owner's calendar.
,,,UpdateCopilotPlugin,Updated a Copilot plugin setting,,A user (or admin or system on behalf of a user) updated a Copilot plugin setting.
,,,UpdateCopilotPromptBook,Updated a Copilot promptbook setting,,A user (or admin or system on behalf of a user) updated a Copilot promptbook setting.
,,,UpdateCopilotSettings,Updated a Copilot setting,,An admin (or system on behalf of an admin) updated a Copilot setting.
,,,UpdatedDataAccessSetting,Updated data access setting,,Admin updated data access settings.
,,,updateddeviceconfiguration,Device configuration updated,,"An action for a device managed by Cloud Update has been triggered. This includes triggering a rollback, resuming a rolled back device, or changing the update channel."
,,,UpdatedOrganizationBriefingSettings,Updated organization privacy settings,,Admin updates the organization privacy settings for Briefing email.
,,,UpdatedOrganizationMyAnalyticsSettings,Updated organization MyAnalytics settings,,Admin updates organization-level settings for personal insights.
,,,UpdatedPolicyConfig,Updated policy configuration,,"An existing policy configuration was updated, for example by adding, changing, or removing policy settings, or by changing the policy configuration's name, description, or scope."
,,,UpdatedPolicyConfigPriority,Updated policy configuration priority,,The priority of a policy configuration was changed.
,,,UpdatedPrivacySetting,Updated privacy setting,,"Admin updated privacy settings; for example, minimum group size."
,,,updatedprofileconfiguration,Profile configuration updated,,"A Cloud Update profile's configuration has changed. This includes changes to the profile's state, set deadline, Update Validation enablement, and configured waves and wave delay."
,,,updatedtenantconfiguration,Tenant configuration updated,,"The Cloud Update's tenant-wide configuration has changed. This includes changing exclusions, exclusion windows, and generating a new Tenant Association Key (TAK)."
